"storm","city","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Kalmaegi","Calasiao","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","2053","162","-92.0000","1699.8200","119.5340","-1580.286000","-14.285785","14.2858","-92.9678","92.9678","-89.2461","89.2461",2,"288","0.2501","72.0316","24","0.3228","-0.072700","0.072700","0.002261","0.002918","-0.000657","0.000657","7.7462","-64.2854","64.285400","-0.581100","0.581100","0.14028251","0.14814815","-0.00786563","0.00786563","0.04237602","0.06480332","-0.02242730","0.02242730"
"Kalmaegi","Calasiao","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","2053","162","-92.0000","1699.8200","119.5340","-1580.286000","-14.285785","14.2858","-92.9678","92.9678","-90.3690","90.3690",3,"152","0.7656","116.3660","15","0.7471","0.018500","0.018500","0.006921","0.006754","0.000167","0.000167","11.2072","-105.1588","105.158800","-0.950600","0.950600","0.07403799","0.09259259","-0.01855460","0.01855460","0.06845784","0.09375742","-0.02529959","0.02529959"
"Kalmaegi","Calasiao","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","2053","162","-92.0000","1699.8200","119.5340","-1580.286000","-14.285785","14.2858","-92.9678","92.9678","-88.1181","88.1181",4,"253","2.1463","543.0220","29","2.2249","-0.078600","0.078600","0.019403","0.020113","-0.000711","0.000711","64.5211","-478.5009","478.500900","-4.325600","4.325600","0.12323429","0.17901235","-0.05577805","0.05577805","0.31945853","0.53977195","-0.22031342","0.22031342"
"Kalmaegi","Calasiao","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","2053","162","-92.0000","1699.8200","119.5340","-1580.286000","-14.285785","14.2858","-92.9678","92.9678","-94.7405","94.7405",5,"62","7.2636","450.3450","4","5.9215","1.342100","1.342100","0.065663","0.053530","0.012133","0.012133","23.6860","-426.6590","426.659000","-3.857000","3.857000","0.03019971","0.02469136","0.00550835","0.00550835","0.26493688","0.19815283","0.06678405","0.06678405"
"Kalmaegi","Calasiao","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","2053","162","-92.0000","1699.8200","119.5340","-1580.286000","-14.285785","14.2858","-92.9678","92.9678","-97.7446","97.7446",6,"39","12.7431","496.9800","1","11.2090","1.534100","1.534100","0.115198","0.101329","0.013868","0.013868","11.2090","-485.7710","485.771000","-4.391400","4.391400","0.01899659","0.00617284","0.01282375","0.01282375","0.29237213","0.09377248","0.19859965","0.19859965"
"Lan","Hamamatsu","90","144.84","90 - Lan - Hamamatsu","2017-10-23","2017","1129","229","-79.0000","10683.6000","2141.9300","-8541.670000","-77.216697","77.2167","-79.9512","79.9512","-84.1912","84.1912",1,"141","0.0424","5.9840","27","0.0350","0.007400","0.007400","0.000383","0.000316","0.000067","0.000067","0.9460","-5.0380","5.038000","-0.045500","0.045500","0.12488928","0.11790393","0.00698535","0.00698535","0.00056011","0.00044166","0.00011845","0.00011845"
"Lan","Hamamatsu","90","144.84","90 - Lan - Hamamatsu","2017-10-23","2017","1129","229","-79.0000","10683.6000","2141.9300","-8541.670000","-77.216697","77.2167","-79.9512","79.9512","-84.7033","84.7033",2,"133","0.2666","35.4612","20","0.2712","-0.004600","0.004600","0.002410","0.002452","-0.000042","0.000042","5.4244","-30.0368","30.036800","-0.271500","0.271500","0.11780337","0.08733624","0.03046712","0.03046712","0.00331922","0.00253248","0.00078674","0.00078674"
"Lan","Hamamatsu","90","144.84","90 - Lan - Hamamatsu","2017-10-23","2017","1129","229","-79.0000","10683.6000","2141.9300","-8541.670000","-77.216697","77.2167","-79.9512","79.9512","-73.8352","73.8352",3,"68","0.7367","50.0941","17","0.7710","-0.034300","0.034300","0.006660","0.006970","-0.000310","0.000310","13.1070","-36.9871","36.987100","-0.334400","0.334400","0.06023029","0.07423581","-0.01400552","0.01400552","0.00468888","0.00611925","-0.00143037","0.00143037"
"Lan","Hamamatsu","90","144.84","90 - Lan - Hamamatsu","2017-10-23","2017","1129","229","-79.0000","10683.6000","2141.9300","-8541.670000","-77.216697","77.2167","-79.9512","79.9512","-77.9598","77.9598",4,"265","2.7778","736.1280","64","2.5351","0.242700","0.242700","0.025111","0.022917","0.002194","0.002194","162.2440","-573.8840","573.884000","-5.187900","5.187900","0.23472099","0.27947598","-0.04475499","0.04475499","0.06890262","0.07574664","-0.00684402","0.00684402"
"Lan","Hamamatsu","90","144.84","90 - Lan - Hamamatsu","2017-10-23","2017","1129","229","-79.0000","10683.6000","2141.9300","-8541.670000","-77.216697","77.2167","-79.9512","79.9512","-84.9096","84.9096",5,"188","7.0749","1330.0900","27","7.4339","-0.359000","0.359000","0.063957","0.067202","-0.003245","0.003245","200.7160","-1129.3740","1129.374000","-10.209500","10.209500","0.16651904","0.11790393","0.04861511","0.04861511","0.12449830","0.09370801","0.03079029","0.03079029"
