"storm","location","city","wind","city_radius","normaldays","normalstart","cityimpactday","day","days_after_storm","totaldisplacement","avgdisplacement","posts","radius_of_gyration","centroid"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"6.46596","1.61649","4","0.90897","0101000020E61000000000001868405F40000000C8816F2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"7.97596","2.65865","3","1.16485","0101000020E6100000000000A0FB3F5F4000000040BE772640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"4.09951","1.36650","3","0.62881","0101000020E6100000ABAAAACA4B405F405555553569742640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"11.58640","3.86214","3","1.54586","0101000020E6100000555555B5E43F5F4000000020285E2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"10.67840","3.55946","3","1.63142","0101000020E610000000000080A23F5F4000000060F8762640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"6.19909","3.09955","2","0.29434","0101000020E61000000000003060405F4000000050A86A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"8.66362","4.33181","2","0.76188","0101000020E6100000000000907A405F40000000004C672640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"14.12630","7.06317","2","3.04190","0101000020E6100000000000402B405F40000000506E652640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"7.79880","3.89940","2","1.94970","0101000020E6100000000000B037405F400000000027772640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"4.53260","2.26630","2","0.09127","0101000020E6100000000000300A405F40000000C08E7E2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"1.76823","0.88411","2","0.31540","0101000020E6100000000000C038405F40000000C0157C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"4.27713","2.13856","2","0.07956","0101000020E61000000000008085405F40000000D0096A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"3.34514","1.67257","2","0.00491","0101000020E610000000000070AB415F4000000040E7732640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"2.40569","1.20285","2","0.56200","0101000020E610000000000050D33F5F4000000030C77B2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"0.70206","0.35103","2","0.07071","0101000020E6100000000000B01E405F40000000D0EE7B2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-11-01",-7,NULL,NULL,"0","0",NULL
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-11-02",-6,NULL,NULL,"0","0",NULL
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-11-03",-5,NULL,NULL,"0","0",NULL
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-11-04",-4,NULL,NULL,"0","0",NULL
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-11-05",-3,"8.81946","0.38345","23","0.09520","0101000020E6100000000000600E405F4059C84296C6642640"
